season,week,lineup_label,contest_name,entries,positions_paid,total_prizes,rank,fpts,winnings
2026,2,L1,$7.5K Huddle [Single Entry],1783,390,7500,1640,80.22,0.0
2026,2,L1,$40K Pylon [Single Entry],15854,3996,40000,14520,80.22,0.0
2026,2,L1,$175K Fair Catch [Single Entry],17156,4135,175000,15776,80.22,0.0
2026,2,L2,$20K Pylon [Single Entry],7927,2011,20000,3346,120.74,0.0
2026,2,L2,$75K Fair Catch [Single Entry],7352,1524,75000,3167,120.74,0.0
2026,2,L3,$10K Pylon [Single Entry],3963,1018,10000,2295,109.88,0.0
2026,2,L1,$15K Mini-Max [150 Entry Max],35671,8185,15000,33559,80.22,0.0
2026,2,L2,$15K Mini-Max [150 Entry Max],35671,8185,15000,16893,120.74,0.0
2026,2,L3,$15K Mini-Max [150 Entry Max],35671,8185,15000,22529,109.88,0.0
2026,2,L2,$40K Nickel [5 Entry Max],9512,1995,40000,4487,120.74,0.0
2026,2,L3,$40K Nickel [5 Entry Max],9512,1995,40000,5887,109.88,0.0
2026,2,L1,$40K Nickel [5 Entry Max],9512,1995,40000,8836,80.22,0.0
2026,2,L2,$25K Triple Option [5 Entry Max],9908,2576,25000,4680,120.74,0.0
2026,2,L3,$25K Triple Option [5 Entry Max],9908,2576,25000,6097,109.88,0.0
2026,2,L1,$25K Triple Option [5 Entry Max],9908,2576,25000,9242,80.22,0.0
2026,2,L1,$40K Front Four [20 Entry Max],11890,3091,40000,11261,80.22,0.0
2026,2,L2,$40K Front Four [20 Entry Max],11890,3091,40000,6079,120.74,0.0
2026,2,L3,$40K Front Four [20 Entry Max],11890,3091,40000,7907,109.88,0.0
2026,2,L2,$125K First Down [20 Entry Max],148632,40125,125000,59965,120.74,0.0
2026,2,L3,$125K First Down [20 Entry Max],148632,40125,125000,82824,109.88,0.0
2026,2,L1,$125K First Down [20 Entry Max],148632,40125,125000,136880,80.22,0.0
2026,2,L2,$3M Fantasy Football Millionaire [$1M to 1st],172761,38825,3000000,69545,120.74,0.0
2026,2,L3,$3M Fantasy Football Millionaire [$1M to 1st],172761,38825,3000000,96221,109.88,0.0
2026,2,L1,$3M Fantasy Football Millionaire [$1M to 1st],172761,38825,3000000,158926,80.22,0.0
2026,2,L2,$800K Play-Action [20 Entry Max],317082,80725,800000,117390,120.74,0.0
2026,2,L3,$800K Play-Action [20 Entry Max],317082,80725,800000,166814,109.88,0.0
2026,2,L1,$800K Play-Action [20 Entry Max],317082,80725,800000,289637,80.22,0.0
